,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Waingapu,42,ID,1584864061,71,-9.66,120.26,29.67,4.68
1,Kavieng,9,PG,1584864061,66,-2.57,150.8,29.87,1.81
2,Paamiut,100,GL,1584864061,60,61.99,-49.67,-8.33,7.69
3,Vaini,90,TO,1584864061,94,-21.2,-175.2,24.0,4.6
4,Hilo,90,US,1584863959,78,19.73,-155.09,22.0,2.82
5,Pisco,75,PE,1584864062,73,-13.7,-76.22,23.0,1.5
6,Hithadhoo,0,MV,1584864062,63,-0.6,73.08,29.27,1.82
7,Lerwick,80,GB,1584864062,70,60.15,-1.15,6.0,9.3
8,Carnarvon,66,AU,1584864063,46,-24.87,113.63,34.0,7.7
9,Port Alfred,47,ZA,1584864063,88,-33.59,26.89,21.67,6.07
10,Busselton,1,AU,1584864063,33,-33.65,115.33,26.11,1.7
11,Ushuaia,20,AR,1584864062,74,-54.8,-68.3,3.0,9.3
12,Mataura,100,NZ,1584864063,79,-46.19,168.86,11.11,3.58
13,Mossamedes,20,AO,1584864064,78,-15.2,12.15,24.0,3.43
14,Novi Troyany,100,UA,1584864064,76,45.94,28.86,6.47,5.79
15,Arman',100,RU,1584864064,90,59.7,150.17,-5.13,4.68
16,Lavrentiya,100,RU,1584864064,78,65.58,-171.0,-14.13,1.26
17,San Nicolas,20,PH,1584864064,79,18.17,120.6,29.0,3.6
18,Upernavik,32,GL,1584864065,84,72.79,-56.15,-23.03,2.57
19,Faanui,3,PF,1584864065,70,-16.48,-151.75,28.67,2.21
20,Rikitea,33,PF,1584864065,76,-23.12,-134.97,25.67,2.26
21,Perote,7,MX,1584863890,92,19.57,-97.23,11.27,1.48
22,Pascagoula,75,US,1584864065,87,30.37,-88.56,16.0,2.6
23,Nanortalik,100,GL,1584864066,63,60.14,-45.24,-3.53,4.35
24,Berdigestyakh,100,RU,1584864066,95,62.1,126.7,-7.93,2.74
25,George Town,20,MY,1584863944,59,5.41,100.34,32.0,5.1
26,Akhmīm,0,EG,1584864066,38,26.56,31.75,16.0,1.0
27,Avarua,92,CK,1584864067,74,-21.21,-159.78,26.0,1.5
28,Oistins,40,BB,1584864067,74,13.07,-59.53,26.0,7.7
29,Bluff,100,NZ,1584864067,79,-46.6,168.33,11.11,3.58
30,Cabo San Lucas,20,MX,1584863997,82,22.89,-109.91,18.89,1.0
31,Adrar,0,MR,1584864067,34,20.5,-10.07,17.37,6.69
32,Cape Town,20,ZA,1584863944,72,-33.93,18.42,22.78,4.6
33,Bilibino,100,RU,1584864068,68,68.05,166.44,-18.43,1.71
34,Burns Lake,100,CA,1584863969,92,54.23,-125.75,-2.03,0.83
35,Lethem,1,GY,1584864068,68,3.38,-59.8,24.57,7.19
36,Westport,90,US,1584864068,31,41.14,-73.36,4.44,5.7
37,Punta Arenas,75,CL,1584863816,81,-53.15,-70.92,6.0,2.6
38,Chui,0,UY,1584864069,78,-33.7,-53.46,16.57,1.95
39,Talnakh,40,RU,1584864069,83,69.49,88.4,-24.0,3.0
40,Zabid,82,YE,1584864069,63,14.2,43.32,29.87,5.37
41,Roebourne,62,AU,1584864069,40,-20.78,117.13,34.07,7.42
42,Clyde River,1,CA,1584864069,75,70.47,-68.59,-26.0,1.0
43,Puerto Ayora,63,EC,1584864070,90,-0.74,-90.35,23.33,0.45
44,Hermanus,78,ZA,1584864070,70,-34.42,19.23,23.33,4.36
45,Cockburn Town,12,TC,1584864070,69,21.46,-71.14,23.87,8.45
46,Praia da Vitória,75,PT,1584864070,71,38.73,-27.07,12.0,6.73
47,Kampot,20,KH,1584864007,49,10.62,104.18,32.0,3.6
48,Norman Wells,20,CA,1584864070,85,65.28,-126.83,-12.0,1.5
49,Mahébourg,75,MU,1584864071,74,-20.41,57.7,28.89,5.1
50,Hobart,40,AU,1584863926,44,-42.88,147.33,14.0,6.7
51,San Cristobal,59,VE,1584864071,71,7.77,-72.22,9.27,0.74
52,Lompoc,90,US,1584863773,87,34.64,-120.46,12.0,6.15
53,Alta Floresta,26,BR,1584863993,98,-9.88,-56.09,20.67,0.86
54,Juba,31,SS,1584863957,32,4.85,31.58,36.47,2.19
55,Jamestown,1,US,1584863790,73,42.1,-79.24,-6.0,2.6
56,Tiznit Province,84,MA,1584864072,77,29.58,-9.5,9.77,4.21
